Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Grindhouse,285923,Thriller,Yer Dead Productions,67000000,25037897,Two full-length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two-film feature. Including fake movie trailers in between both movies.,2007-04-06
Hostel: Part II,1691,Horror,Lions Gate Films,10200000,35619521,"Following a geographical tour of Slovakia, three young American women are lured into a hostel by a handsome young man who sells them to the twisted masters, ties them up and brings upon an unthinkable world of pain.",2007-06-08
The Reaping,1683,Thriller,Dark Castle Entertainment,40000000,62771059,"Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.",2007-04-05
Next,1738,Action,Virtual Studios,70000000,76066841,"Las Vegas showroom magician Cris Johnson has a secret which torments him: he can see a few minutes into the future. Sick of the examinations he underwent as a child and the interest of the government and medical establishment in his power, he lies low under an assumed name in Vegas, performing cheap tricks and living off small-time gambling ""winnings."" But when a terrorist group threatens to detonate a nuclear device in Los Angeles, government agent Callie Ferris must use all her wiles to capture Cris and convince him to help her stop the cataclysm.",2007-04-24
Reign Over Me,2355,Drama,Happy Madison Productions,20000000,22222308,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,2007-03-23
Vacancy,10294,Horror,Screen Gems,19000000,35300645,"A young married couple becomes stranded at an isolated motel and find hidden video cameras in their room. They realize that unless they escape, they'll be the next victims of a snuff film.",2007-04-20
August Rush,5123,Family,CJ Entertainment,25000000,66122026,"A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.",2007-11-21
Bridge to Terabithia,1265,Adventure,Lauren Levine Productions Inc.,60000000,137587063,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",2007-02-16
Fred Claus,5375,Action,Jessie Nelson Productions,100000000,97838349,"Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.",2007-11-03
Meet the Robinsons,1267,Animation,Walt Disney Pictures,150000000,169332978,"In this animated adventure, brilliant preteen inventor Lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. But when the villainous Bowler Hat Guy steals the machine, Lewis is ready to give up on his quest until the mysterious Wilbur Robinson shows up on the scene, whisking Lewis to the future to find the scanner and his mom.",2007-03-23
Surf's Up,9408,Animation,Columbia Pictures,85000000,149044513,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey he discovers his talents are not all he thinks they are and he must learn to accept that their is more to surfing than fame and fortune.  Surf's Up is a 2007 American computer-animated mockumentary film produced by Sony Pictures Animation and distributed by Columbia Pictures and ImageWorks Studios. It stars the voices of Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder among others.",2007-06-08
The Golden Compass,2268,Adventure,Depth of Field,180000000,372234864,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",2007-12-04
Timecrimes,14139,Science Fiction,Arsénico Producciones,2600000,553198,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2007-10-05
TMNT,1273,Adventure,The Weinstein Company,34000000,95608995,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",2007-03-23
Music and Lyrics,11172,Comedy,Castle Rock Entertainment,40000000,145896422,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",2007-02-09
