Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Jack Reacher,75780,Crime,Paramount,60000000,218340595,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",2012-12-20
Hotel Transylvania,76492,Animation,Columbia Pictures,85000000,358375603,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",2012-09-20
Dredd,49049,Action,Rena Film,50000000,41037742,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2012-09-07
Magic Mike,77930,Drama,Iron Horse Entertainment (II),7000000,167221571,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.",2012-06-28
Taken 2,82675,Action,EuropaCorp,45000000,376141306,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",2012-09-27
The Lorax,73723,Animation,Universal Pictures,70000000,348840316,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",2012-03-01
Silent Hill: Revelation 3D,61012,Thriller,Konami Corporation Ltd.,20000000,52302796,"Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.",2012-10-10
Journey 2: The Mysterious Island,72545,Adventure,Walden Media,79000000,355692760,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",2012-01-19
Wrath of the Titans,57165,Fantasy,Thunder Road Pictures,150000000,301000000,"A decade after his heroic defeat of the monstrous Kraken, Perseus-the demigod son of Zeus-is attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son, Helius. Meanwhile, a struggle for supremacy rages between the gods and the Titans. Dangerously weakened by humanity's lack of devotion, the gods are losing control of the imprisoned Titans and their ferocious leader, Kronos, father of the long-ruling brothers Zeus, Hades and Poseidon.",2012-03-27
What to Expect When You're Expecting,76494,Romance,Lionsgate,40000000,79700000,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",2012-05-17
The Pirates! In an Adventure with Scientists!,72197,Animation,Sony Pictures Animation,60000000,118338361,"The luxuriantly bearded Pirate Captain is a boundlessly enthusiastic, if somewhat less-than-successful, terror of the High Seas. With a rag-tag crew at his side, and seemingly blind to the impossible odds stacked against him, the Captain has one dream: to beat his bitter rivals Black Bellamy and Cutlass Liz to the much coveted Pirate of the Year Award. It’s a quest that takes our heroes from the shores of exotic Blood Island to the foggy streets of Victorian London. Along the way they battle a diabolical queen and team up with a haplessly smitten young scientist, but never lose sight of what a pirate loves best: adventure!",2012-03-12
The Woman in Black,65086,Drama,Exclusive Media Group,17000000,127730736,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",2012-02-03
Act of Valor,75674,Action,Bandito Brothers,12000000,81272766,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",2012-02-24
ParaNorman,77174,Family,Focus Features,60000000,107139399,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",2012-08-03
This Means War,59962,Action,Dune Entertainment,65000000,156974557,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,2012-02-14
Argo,68734,Drama,GK Films,44500000,232324128,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",2012-10-11
Step Up Revolution,85446,Music,Summit Entertainment,33000000,140470746,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",2012-07-26
Stolen,127493,Action,Millennium Films,35000000,2106557,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",2012-05-17
The Words,83686,Drama,CBS Films,6000000,13231461,"The Words follows young writer Rory Jansen who finally achieves long sought after literary success after publishing the next great American novel. There's only one catch - he didn't write it. As the past comes back to haunt him and his literary star continues to rise, Jansen is forced to confront the steep price that must be paid for stealing another man's work, and for placing ambition and success above life's most fundamental three words.",2012-09-07
Contraband,77866,Thriller,Universal Pictures,25000000,63100000,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago – smuggling – to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",2012-01-12
Dark Shadows,62213,Comedy,Tim Burton Productions,150000000,245527149,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,2012-05-08
To Rome with Love,81836,Romance,Mediapro,17000000,73244881,"Four tales unfold in the Eternal City: While vacationing in Rome, architect John encounters a young man whose romantic woes remind him of a painful incident from his own youth; retired opera director Jerry discovers a mortician with an amazing voice, and he seizes the opportunity to rejuvenate his own flagging career; a young couple have separate romantic interludes; a spotlight shines on an ordinary man.",2012-04-20
Sinister,82507,Horror,Automatik Entertainment,3000000,77712439,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.",2012-03-29
Alex Cross,94348,Action,Summit Entertainment,45000000,30353232,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.",2012-10-18
Hit & Run,109513,Action,Primate Pictures,2000000,14400000,Former getaway driver Charlie Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charlie's former gang chase them on the road.,2012-08-22
The Vow,72570,Drama,Spyglass Entertainment,30000000,196114570,"Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",2012-02-05
Premium Rush,49526,Crime,Pariah Entertainment Group,35000000,31083599,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",2012-08-24
Wanderlust,50647,Comedy,Relativity Media,35000000,24159934,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",2012-02-23
The Lucky One,77877,Drama,DiNovi Pictures,25000000,99357138,"U.S. Marine Sergeant Logan Thibault returns from his third tour of duty in Iraq, with the one thing he credits with keeping him alive-a photograph he found of a woman he doesn't even know. Learning her name is Beth and where she lives, he shows up at her door, and ends up taking a job at her family-run local kennel. Despite her initial mistrust and the complications in her life, a romance develops between them, giving Logan hope that Beth could be much more than his good luck charm.",2012-04-19
Seeking a Friend for the End of the World,88005,Comedy,Indian Paintbrush,10000000,9636289,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",2012-06-22
Parental Guidance,88042,Comedy,Dune Entertainment III,25000000,119772232,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,2012-12-25
Project X,57214,Comedy,Silver Pictures,12000000,100000000,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",2012-03-01
A Royal Affair,88273,Drama,Sirena Film,8000000,7594693,"A young queen falls in love with her physician, and they start a revolution that changes their nation forever.",2012-03-29
Upside Down,58244,Romance,France 2 Cinéma,60000000,8106475,"In an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?",2012-09-27
The Five-Year Engagement,72207,Romance,Universal Pictures,30000000,53909751,"Exactly one year after Tom meets Violet, he surprises her with a wedding ring. By all accounts, Tom and Violet are destined for their happily ever after. However, this engaged couple just keep getting tripped up on the long walk down the aisle.",2012-04-27
The Man with the Iron Fists,97430,Action,Arcade Pictures,15000000,15608545,"In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",2012-11-02
Safe,72387,Action,IM Global,30000000,40346186,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",2012-04-16
Ernest & Celestine,126319,Animation,Gkids,12516654,8109160,"Celestine is a little mouse trying to avoid a dental career; Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together.",2012-12-12
The Cold Light of Day,77948,Action,Film Rites,20000000,16863583,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.",2012-04-04
Robot & Frank,84329,Science Fiction,Park Pictures,2500000,3325038,"A delightful dramatic comedy, a buddy picture, and, for good measure, a heist film. Curmudgeonly old Frank lives by himself. His routine involves daily visits to his local library, where he has a twinkle in his eye for the librarian. His grown children are concerned about their father’s well-being and buy him a caretaker robot. Initially resistant to the idea, Frank soon appreciates the benefits of robotic support – like nutritious meals and a clean house – and eventually begins to treat his robot like a true companion. With his robot’s assistance, Frank’s passion for his old, unlawful profession is reignited, for better or worse.",2012-08-16
Hope Springs,82696,Drama,Columbia Pictures,30000000,114281051,"After thirty years of marriage, a middle-aged couple attends an intense, week-long counseling session to work on their relationship.",2012-08-07
Killing Them Softly,64689,Crime,Plan B Entertainment,15000000,37930465,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",2012-09-20
Bachelorette,84174,Comedy,Gary Sanchez Productions,3000000,11947954,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,2012-08-06
Lockout,81796,Action,Ciné+,20000000,32204030,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",2012-04-12
This Is 40,89492,Comedy,Apatow Productions,35000000,88058786,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",2012-12-20
The Paperboy,82390,Thriller,Millennium Films,12500000,1353868,"As investigative reporter Ward Jansen and his partner Yardley Acheman chase a sensational, career-making story with the help of Ward's younger brother Jack and sultry death-row groupie Charlotte Bless, the pair tries to prove violent swamp-dweller Hillary Van Wetter was framed for the murder of a corrupt local sheriff.",2012-09-14
Fire with Fire,139567,Action,Knightsbridge Entertainment,20000000,4636169,A fireman takes an unexpected course of action when a man whom he's been ordered to testify against – after being held up at a local convenience store – threatens him.,2012-08-31
Love Is All You Need,126250,Comedy,Zentropa Entertainments,5500000,10016934,"Romantic comedy from Academy Award winner Susanne Bier (Brothers, In a Better World), about two very different families brought together for a wedding in a beautiful old Italian villa.",2012-09-04
Red Lights,75638,Thriller,Attitude Pinículas y Films A.I.E.,14000000,13551174,"Two investigators of paranormal hoaxes, the veteran Dr. Margaret Matheson and her young assistant, Tom Buckley, study the most varied metaphysical phenomena with the aim of proving their fraudulent origins. Simon Silver, a legendary blind psychic, reappears after an enigmatic absence of 30 years to become the greatest international challenge to both orthodox science and professional sceptics. Tom starts to develop an intense obsession with Silver, whose magnetism becomes stronger with each new manifestation of inexplicable events. As Tom gets closer to Silver, tension mounts, and his worldview is threatened to its core.",2012-03-02
Laurence Anyways,110160,Drama,MK2 Productions,9500000,12250,"Set in the 1980s and 1990s, a man tries to salvage his relationship with his fiancée after revealing to her his aspirations of becoming a woman.  This is the story of a wild and unusual love.",2012-05-18
The Lords of Salem,104755,Horror,IM Global,1500000,1165882,"The City of Salem, Massachusetts is visited by a coven of ancient witches.",2012-09-10
Lawless,82633,Crime,The Weinstein Company,26000000,53676580,"Set in the Depression-era Franklin County, Virginia, a bootlegging gang is threatened by authorities who want a cut of their profits.",2012-08-29
The Hunt,103663,Drama,Sveriges Television (SVT),3800000,16800000,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012-08-28
Disconnect,127517,Drama,Lionsgate,10000000,3428048,"Disconnect interweaves multiple storylines about people searching for human connection in today’s wired world. Through poignant turns that are both harrowing and touching, the stories intersect with surprising twists that expose a shocking reality into our daily use of technology that mediates and defines our relationships and ultimately our lives.",2012-09-11
Red Dawn,60747,War,Contrafilm,65000000,44806783,"A city in Washington state awakens to the surreal sight of foreign paratroopers dropping from the sky - shockingly, the U.S. has been invaded and their hometown is the initial target. Quickly and without warning, the citizens find themselves prisoners and their town under enemy occupation. Determined to fight back, a group of young patriots seek refuge in the surrounding woods, training and reorganizing themselves into a guerrilla group of fighters. Taking inspiration from their high school mascot, they call themselves the Wolverines, banding together to protect one another, liberate their town from its captors, and take back their freedom.",2012-11-21
Universal Soldier: Day of Reckoning,122857,Action,Signature Pictures,11500000,1402307,"In a world without government, the surviving Unisols maintain order and choose the strongest of their ranks to rule, testing them in life-or-death combat.",2012-10-04
Promised Land,133694,Drama,Imagenation Abu Dhabi FZ,15000000,8138788,"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",2012-09-23
The Iceman,68812,Thriller,Millennium Films,20000000,1969193,"The true story of Richard Kuklinski, the notorious contract killer and family man.",2012-09-01
Paranormal Activity 4,82990,Horror,Room 101,5000000,142817992,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",2012-10-17
The Raven,70436,Crime,Relativity Media,26000000,29657751,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories.",2012-03-09
Arbitrage,60599,Drama,Lucky Monkey Pictures,12000000,35485056,"A troubled hedge fund magnate, desperate to complete the sale of his trading empire, makes an error that forces him to turn to an unlikely person for help.",2012-09-14
Savages,82525,Crime,Relativity Media,45000000,82966152,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,2012-07-06
Beasts of the Southern Wild,84175,Drama,Cinereach,1800000,21107746,"Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink in 'the Bathtub', a southern Delta community at the edge of the world. Wink’s tough love prepares her for the unraveling of the universe – for a time when he’s no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack – temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink’s health fading, Hushpuppy goes in search of her lost mother.",2012-06-29
Stitches,115210,Horror,MPI Media Group,100000,95000,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",2012-05-19
Frankenweenie,62214,Animation,Tim Burton Productions,39000000,35287788,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",2012-10-04
That's My Boy,87428,Comedy,Relativity Media,70000000,58058367,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",2012-06-14
Safety Not Guaranteed,84332,Comedy,Big Beach Films,750000,4007792,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,2012-06-08
Rust and Bone,97365,Drama,Why Not Productions,15400000,25762027,"Put in charge of his young son, Ali leaves Belgium for Antibes to live with his sister and her husband as a family. Ali's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.",2012-05-17
The Possession,77883,Horror,Ghost House Pictures,14000000,85446075,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",2012-08-30
Iron Sky,10679,Action,Blind Spot Pictures Oy,7500000,8135031,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",2012-03-10
Rock of Ages,80585,Comedy,Offspring Entertainment,75000000,59418613,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",2012-06-13
Fun Size,82679,Comedy,Paramount,14000000,11417362,"Wren is invited to a Halloween party by her crush, Aaron Riley, but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead, she loses him and must find him before her mother finds out.",2012-10-24
A Thousand Words,72358,Drama,Paramount,40000000,22044277,"Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja (Cliff Curtis) for his own selfish purposes. But Dr. Sinja is on to him, and Jack’s life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he’s got to stop talking and conjure up some outrageous ways to communicate or he’s a goner.",2012-03-07
Red Tails,72431,Drama,Lucasfilm,58000000,50365377,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",2012-01-19
Thor: The Dark World,76338,Action,Marvel Studios,170000000,644571402,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",2013-10-29
Frozen,109445,Animation,Walt Disney Pictures,150000000,1274219009,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013-11-27
Iron Man 3,68721,Action,Marvel Studios,200000000,1215439994,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18
The Wolf of Wall Street,106646,Crime,EMJAG Productions,100000000,392000694,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013-12-25
Pacific Rim,68726,Action,Double Dare You Productions,180000000,407602906,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",2013-07-11
Despicable Me 2,93456,Animation,Illumination Entertainment,76000000,970761885,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,2013-06-25
Man of Steel,49521,Action,Legendary Pictures,225000000,662845518,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12
Oblivion,75612,Action,Universal Pictures,120000000,286168572,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",2013-04-10
Prisoners,146233,Drama,Madhouse Entertainment,46000000,122126687,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",2013-09-18
Snowpiercer,110415,Action,CJ Entertainment,39200000,86758912,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",2013-08-01
The Croods,49519,Action,DreamWorks Animation,135000000,585178928,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",2013-03-20
Elysium,68724,Science Fiction,Genre Films,115000000,286140700,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",2013-08-07
Gravity,49047,Science Fiction,Esperanto Filmoj,105000000,716392705,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",2013-09-27
A Good Day to Die Hard,47964,Action,Mid Atlantic Films,92000000,304654182,"Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",2013-02-06
Her,152601,Romance,Annapurna Pictures,23000000,47351251,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",2013-12-18
The Great Gatsby,64682,Drama,Spectrum Films,105000000,351040419,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",2013-05-10
12 Years a Slave,76203,Drama,New Regency Pictures,20000000,187000000,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",2013-10-18
Kick-Ass 2,59859,Action,Marv Films,28000000,60700000,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",2013-07-17
We're the Millers,138832,Comedy,Vincent Newman Entertainment,37000000,269994119,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013-08-07
G.I. Joe: Retaliation,72559,Adventure,Paramount,130000000,371876278,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",2013-03-26
Evil Dead,109428,Horror,TriStar Pictures,17000000,97542952,"Evil Dead, the fourth installment of the Evil Dead franchise, serving as both a reboot and as a loose continuation of the series, features Mia, a young woman struggling with sobriety, heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one by one.",2013-04-05
The Mortal Instruments: City of Bones,123553,Action,Screen Gems,60000000,90565421,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.",2013-08-21
Side Effects,109421,Thriller,Open Road Films,30000000,63372757,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,2013-02-07
The Hobbit: The Desolation of Smaug,57158,Adventure,Warner Bros. Pictures,250000000,958400000,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11
The Hangover Part III,109439,Comedy,Green Hat Films,103000000,362000072,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",2013-05-23
Rush,96721,Drama,Double Negative,38000000,90247624,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013-09-02
2 Guns,136400,Action,Universal Pictures,61000000,131940411,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,2013-08-02
The Lone Ranger,57201,Action,Silver Bullet Productions (II),255000000,89289910,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013-07-03
